Team1,Score1,Team2,Score2
New England PatriotsNE,17,Miami DolphinsMIA,31
New York JetsNYJ,13,New York GiantsNYG,10
Jacksonville JaguarsJAX,20,Pittsburgh SteelersPIT,10
Philadelphia EaglesPHI,38,Washington CommandersWAS,31
Houston TexansHOU,13,Carolina PanthersCAR,15
Cleveland BrownsCLE,20,Seattle SeahawksSEA,24
Cincinnati BengalsCIN,31,San Francisco 49ersSF,17
Baltimore RavensBAL,31,Arizona CardinalsARI,24
Kansas City ChiefsKC,9,Denver BroncosDEN,24
Chicago BearsCHI,13,Los Angeles ChargersLAC,30
Las Vegas RaidersLV,14,Detroit LionsDET,26
Tennessee TitansTEN,16,Pittsburgh SteelersPIT,20
Miami DolphinsMIA,14,Kansas City ChiefsKC,21
Tampa Bay BuccaneersTB,37,Houston TexansHOU,39
Los Angeles RamsLA,3,Green Bay PackersGB,20
Chicago BearsCHI,17,New Orleans SaintsNO,24
Seattle SeahawksSEA,3,Baltimore RavensBAL,37
Minnesota VikingsMIN,31,Atlanta FalconsATL,28
Arizona CardinalsARI,0,Cleveland BrownsCLE,27
Washington CommandersWAS,20,New England PatriotsNE,17
Indianapolis ColtsIND,27,Carolina PanthersCAR,13
New York GiantsNYG,6,Las Vegas RaidersLV,30
Dallas CowboysDAL,23,Philadelphia EaglesPHI,28
Buffalo BillsBUF,18,Cincinnati BengalsCIN,24
Los Angeles ChargersLAC,27,New York JetsNYJ,6
Carolina PanthersCAR,13,Chicago BearsCHI,16
Indianapolis ColtsIND,10,New England PatriotsNE,6
New Orleans SaintsNO,19,Minnesota VikingsMIN,27
Houston TexansHOU,30,Cincinnati BengalsCIN,27
Cleveland BrownsCLE,33,Baltimore RavensBAL,31
Green Bay PackersGB,19,Pittsburgh SteelersPIT,23
Tennessee TitansTEN,6,Tampa Bay BuccaneersTB,20
San Francisco 49ersSF,34,Jacksonville JaguarsJAX,3
Detroit LionsDET,41,Los Angeles ChargersLAC,38
Atlanta FalconsATL,23,Arizona CardinalsARI,25
Washington CommandersWAS,26,Seattle SeahawksSEA,29
New York GiantsNYG,17,Dallas CowboysDAL,49
New York JetsNYJ,12,Las Vegas RaidersLV,16
Denver BroncosDEN,24,Buffalo BillsBUF,22
Cincinnati BengalsCIN,20,Baltimore RavensBAL,34
Los Angeles ChargersLAC,20,Green Bay PackersGB,23
Arizona CardinalsARI,16,Houston TexansHOU,21
New York GiantsNYG,31,Washington CommandersWAS,19
Dallas CowboysDAL,33,Carolina PanthersCAR,10
Tennessee TitansTEN,14,Jacksonville JaguarsJAX,34
Pittsburgh SteelersPIT,10,Cleveland BrownsCLE,13
Las Vegas RaidersLV,13,Miami DolphinsMIA,20
Chicago BearsCHI,26,Detroit LionsDET,31
Tampa Bay BuccaneersTB,14,San Francisco 49ersSF,27
Seattle SeahawksSEA,16,Los Angeles RamsLA,17
New York JetsNYJ,6,Buffalo BillsBUF,32
Minnesota VikingsMIN,20,Denver BroncosDEN,21
Philadelphia EaglesPHI,21,Kansas City ChiefsKC,17
Green Bay PackersGB,29,Detroit LionsDET,22
Washington CommandersWAS,10,Dallas CowboysDAL,45
San Francisco 49ersSF,31,Seattle SeahawksSEA,13
Miami DolphinsMIA,34,New York JetsNYJ,13
Jacksonville JaguarsJAX,24,Houston TexansHOU,21
Carolina PanthersCAR,10,Tennessee TitansTEN,17
Tampa Bay BuccaneersTB,20,Indianapolis ColtsIND,27
New Orleans SaintsNO,15,Atlanta FalconsATL,24
Pittsburgh SteelersPIT,16,Cincinnati BengalsCIN,10
New England PatriotsNE,7,New York GiantsNYG,10
Cleveland BrownsCLE,12,Denver BroncosDEN,29
Los Angeles RamsLA,37,Arizona CardinalsARI,14
Kansas City ChiefsKC,31,Las Vegas RaidersLV,17
Buffalo BillsBUF,34,Philadelphia EaglesPHI,37
Baltimore RavensBAL,20,Los Angeles ChargersLAC,10
Chicago BearsCHI,12,Minnesota VikingsMIN,10
Seattle SeahawksSEA,35,Dallas CowboysDAL,41
Indianapolis ColtsIND,31,Tennessee TitansTEN,28
Detroit LionsDET,33,New Orleans SaintsNO,28
Atlanta FalconsATL,13,New York JetsNYJ,8
Los Angeles ChargersLAC,6,New England PatriotsNE,0
Arizona CardinalsARI,24,Pittsburgh SteelersPIT,10
Miami DolphinsMIA,45,Washington CommandersWAS,15
Denver BroncosDEN,17,Houston TexansHOU,22
Carolina PanthersCAR,18,Tampa Bay BuccaneersTB,21
Cleveland BrownsCLE,19,Los Angeles RamsLA,36
San Francisco 49ersSF,42,Philadelphia EaglesPHI,19
Kansas City ChiefsKC,19,Green Bay PackersGB,27
Cincinnati BengalsCIN,34,Jacksonville JaguarsJAX,31
New England PatriotsNE,21,Pittsburgh SteelersPIT,18
Carolina PanthersCAR,6,New Orleans SaintsNO,28
Detroit LionsDET,13,Chicago BearsCHI,28
Indianapolis ColtsIND,14,Cincinnati BengalsCIN,34
Los Angeles RamsLA,31,Baltimore RavensBAL,37
Tampa Bay BuccaneersTB,29,Atlanta FalconsATL,25
Houston TexansHOU,6,New York JetsNYJ,30
Jacksonville JaguarsJAX,27,Cleveland BrownsCLE,31
Seattle SeahawksSEA,16,San Francisco 49ersSF,28
Minnesota VikingsMIN,3,Las Vegas RaidersLV,0
Denver BroncosDEN,24,Los Angeles ChargersLAC,7
Buffalo BillsBUF,20,Kansas City ChiefsKC,17
Philadelphia EaglesPHI,13,Dallas CowboysDAL,33
Tennessee TitansTEN,28,Miami DolphinsMIA,27
Green Bay PackersGB,22,New York GiantsNYG,24
Los Angeles ChargersLAC,21,Las Vegas RaidersLV,63
Minnesota VikingsMIN,24,Cincinnati BengalsCIN,27
Pittsburgh SteelersPIT,13,Indianapolis ColtsIND,30
Denver BroncosDEN,17,Detroit LionsDET,42
Atlanta FalconsATL,7,Carolina PanthersCAR,9
Chicago BearsCHI,17,Cleveland BrownsCLE,20
New York GiantsNYG,6,New Orleans SaintsNO,24
Tampa Bay BuccaneersTB,34,Green Bay PackersGB,20
Houston TexansHOU,19,Tennessee TitansTEN,16
New York JetsNYJ,0,Miami DolphinsMIA,30
Kansas City ChiefsKC,27,New England PatriotsNE,17
Washington CommandersWAS,20,Los Angeles RamsLA,28
San Francisco 49ersSF,45,Arizona CardinalsARI,29
Dallas CowboysDAL,10,Buffalo BillsBUF,31
Baltimore RavensBAL,23,Jacksonville JaguarsJAX,7
Philadelphia EaglesPHI,17,Seattle SeahawksSEA,20
New Orleans SaintsNO,22,Los Angeles RamsLA,30
Cincinnati BengalsCIN,11,Pittsburgh SteelersPIT,34
Buffalo BillsBUF,24,Los Angeles ChargersLAC,22
Cleveland BrownsCLE,36,Houston TexansHOU,22
Detroit LionsDET,30,Minnesota VikingsMIN,24
Seattle SeahawksSEA,20,Tennessee TitansTEN,17
Indianapolis ColtsIND,10,Atlanta FalconsATL,29
Washington CommandersWAS,28,New York JetsNYJ,30
Green Bay PackersGB,33,Carolina PanthersCAR,30
Jacksonville JaguarsJAX,12,Tampa Bay BuccaneersTB,30
Arizona CardinalsARI,16,Chicago BearsCHI,27
Dallas CowboysDAL,20,Miami DolphinsMIA,22
New England PatriotsNE,26,Denver BroncosDEN,23
Las Vegas RaidersLV,20,Kansas City ChiefsKC,14
New York GiantsNYG,25,Philadelphia EaglesPHI,33
Baltimore RavensBAL,33,San Francisco 49ersSF,19
